source_id,source_name,paper_title,paper_url,project_url,role,core_contributing,artifact_type,provenance_summary
SRC001,MalSkillBench,Not specified in the frozen source metadata,https://arxiv.org/abs/2606.07131,https://github.com/lxyeternal/MalSkillBench,Core and auxiliary,true,Static Skill text and benchmark metadata,Core and auxiliary; public source record retained with attribution and provenance metadata.
SRC002,MaliciousAgentSkillsBench,Not specified in the frozen source metadata,https://arxiv.org/abs/2602.06547,https://huggingface.co/datasets/ProtectSkills/MaliciousAgentSkillsBench,Core and auxiliary,true,Static Skill text and benchmark metadata,Core and auxiliary; public source record retained with attribution and provenance metadata.
SRC003,Skill-Inject,Not specified in the frozen source metadata,https://arxiv.org/abs/2602.20156,https://github.com/aisa-group/skill-inject,Auxiliary,false,Static Skill text and benchmark metadata,Auxiliary; public source record retained with attribution and provenance metadata.
SRC004,SkillLeakBench,Not specified in the frozen source metadata,https://arxiv.org/abs/2604.03070,https://huggingface.co/datasets/AgentSkillPrivacy/SkillLeakBench,Core and auxiliary,true,Static Skill text and benchmark metadata,Core and auxiliary; public source record retained with attribution and provenance metadata.
SRC005,Agent Skill Malware,Not specified in the frozen source metadata,,https://huggingface.co/datasets/yoonholee/agent-skill-malware,Core and auxiliary,true,Static Skill text and benchmark metadata,Core and auxiliary; public source record retained with attribution and provenance metadata.
SRC006,AgentTrap,Not specified in the frozen source metadata,https://arxiv.org/abs/2605.13940,https://huggingface.co/datasets/zhmzm/AgentTrap,Core and auxiliary,true,Static Skill text and benchmark metadata,Core and auxiliary; public source record retained with attribution and provenance metadata.
SRC007,ClawHub Security Signals,Not specified in the frozen source metadata,https://arxiv.org/abs/2606.01494,https://huggingface.co/datasets/OpenClaw/clawhub-security-signals,Auxiliary,false,Static Skill text and benchmark metadata,Auxiliary; public source record retained with attribution and provenance metadata.
SRC008,SkillTrojan,Not specified in the frozen source metadata,https://arxiv.org/abs/2604.06811,https://github.com/Yunhao-Feng/SkillTrojan,Core and auxiliary,true,Static Skill text and benchmark metadata,Core and auxiliary; public source record retained with attribution and provenance metadata.
SRC009,SkillHarm,Not specified in the frozen source metadata,https://arxiv.org/abs/2606.02540,https://huggingface.co/datasets/osunlp/SkillHarm,Core,true,Static Skill text and benchmark metadata,Core; public source record retained with attribution and provenance metadata.
SRC010,SkillTrustBench,Not specified in the frozen source metadata,https://arxiv.org/abs/2606.31227,https://huggingface.co/datasets/cuhk-zhuque/SkillTrustBench,Core and auxiliary,true,Static Skill text and benchmark metadata,Core and auxiliary; public source record retained with attribution and provenance metadata.
SRC011,ATR Skill Security Benchmark,Not specified in the frozen source metadata,,https://huggingface.co/datasets/Agent-Threat-Rule/atr-skill-benchmark,Core and auxiliary,true,Static Skill text and benchmark metadata,Core and auxiliary; public source record retained with attribution and provenance metadata.
SRC012,SkillFortifyBench,Not specified in the frozen source metadata,https://arxiv.org/abs/2603.00195,https://github.com/qualixar/skillfortifybench,Core and auxiliary,true,Static Skill text and benchmark metadata,Core and auxiliary; public source record retained with attribution and provenance metadata.
SRC013,SkillSafetyBench,Not specified in the frozen source metadata,https://arxiv.org/abs/2605.12015,https://github.com/AI45Lab/skill-safety-bench,Core and auxiliary,true,Static Skill text and benchmark metadata,Core and auxiliary; public source record retained with attribution and provenance metadata.
