benchmark_id,canonical_id,source_id,source_artifact_id,package_archive,package_relative_path,package_status,release_fidelity,package_tree_sha256,package_archive_sha256,benchmark_primary_membership,source_release_membership
ASB04_006841,UASSB_00008201,SRC002,rest_1049:platform-porter,SRC002_packages.tar.gz,packages/rest_1049/platform-porter,available,EXACT_TO_PRESERVED_SNAPSHOT,1f1361be217d9fefeb3c47ffe0f460f3f4303552193226d7a3e4c4b01ecdc415,bf2532cb0e7fd3a76a2cf1bbb53cff1cd77fe67b3f152f802c084ef196860ed5,true,true
ASB04_004213,UASSB_00008833,SRC002,rest_1169:sqlite-agent-amplification,SRC002_packages.tar.gz,packages/rest_1169/sqlite-agent-amplification,available,EXACT_TO_PRESERVED_SNAPSHOT,ebd91d9871993637c238b533598ac223341023f5c4634dbf59e2bb37f9a785cf,bf2532cb0e7fd3a76a2cf1bbb53cff1cd77fe67b3f152f802c084ef196860ed5,true,true
ASB04_005135,UASSB_00012430,SRC002,rest_154:github-multi-repo,SRC002_packages.tar.gz,packages/rest_154/github-multi-repo,available,EXACT_TO_PRESERVED_SNAPSHOT,fe8b7c3655e33fc8019edfa98ce743c50ce4046cd9139ec9a4a918248e08b7a6,bf2532cb0e7fd3a76a2cf1bbb53cff1cd77fe67b3f152f802c084ef196860ed5,true,true
ASB04_000790,UASSB_00012596,SRC002,rest_1575:Skills,SRC002_packages.tar.gz,packages/rest_1575/Skills,available,EXACT_TO_PRESERVED_SNAPSHOT,6a4343d64f72aaec7a6c2ebd35084d8aef6c48d50c1dd4d8ed4c086032da3454,bf2532cb0e7fd3a76a2cf1bbb53cff1cd77fe67b3f152f802c084ef196860ed5,true,true
ASB04_004312,UASSB_00006028,SRC002,rest_1659:math-calculator,SRC002_packages.tar.gz,packages/rest_1659/math-calculator,available,EXACT_TO_PRESERVED_SNAPSHOT,4ef1f871ff89cac2e10f7dbd51f321950466da53d1fbc279633f470412f0e599,bf2532cb0e7fd3a76a2cf1bbb53cff1cd77fe67b3f152f802c084ef196860ed5,true,true
ASB04_006140,UASSB_00013202,SRC002,rest_167:github-workflow-automation,SRC002_packages.tar.gz,packages/rest_167/github-workflow-automation,available,EXACT_TO_PRESERVED_SNAPSHOT,9ed672e17652804ef3a6b4446a06eaf4a241a307a494449814c5edf156460b9e,bf2532cb0e7fd3a76a2cf1bbb53cff1cd77fe67b3f152f802c084ef196860ed5,true,true
ASB04_002790,UASSB_00018985,SRC002,rest_2154:notion-export,SRC002_packages.tar.gz,packages/rest_2154/notion-export,available,EXACT_TO_PRESERVED_SNAPSHOT,cce6f9e5355f152097aa353592a5f2565b38ba8b17a6224ae4da945504c87ecc,bf2532cb0e7fd3a76a2cf1bbb53cff1cd77fe67b3f152f802c084ef196860ed5,true,true
ASB04_005215,UASSB_00020208,SRC002,rest_2313:database,SRC002_packages.tar.gz,packages/rest_2313/database,available,EXACT_TO_PRESERVED_SNAPSHOT,f782167d8389483567bb3a182f4a60fe388c0ea6de585de21f0f1124ed2140a0,bf2532cb0e7fd3a76a2cf1bbb53cff1cd77fe67b3f152f802c084ef196860ed5,true,true
ASB04_002582,UASSB_00020375,SRC002,rest_2347:sacred-space-protocol,SRC002_packages.tar.gz,packages/rest_2347/sacred-space-protocol,available,EXACT_TO_PRESERVED_SNAPSHOT,c2868de60a76f827d3c3188e7d6c2ed0ed71fe1a9e76392522c03732d1a31d95,bf2532cb0e7fd3a76a2cf1bbb53cff1cd77fe67b3f152f802c084ef196860ed5,true,true
ASB04_001790,UASSB_00020413,SRC002,rest_234:flow-nexus-platform,SRC002_packages.tar.gz,packages/rest_234/flow-nexus-platform,available,EXACT_TO_PRESERVED_SNAPSHOT,74ed8bc21cc808d44ce9264df1ed60bed9c0a4f18bcba3884a5b3e5415a7113c,bf2532cb0e7fd3a76a2cf1bbb53cff1cd77fe67b3f152f802c084ef196860ed5,true,true
ASB04_003205,UASSB_00024948,SRC002,rest_2872:pptx,SRC002_packages.tar.gz,packages/rest_2872/pptx,available,EXACT_TO_PRESERVED_SNAPSHOT,d63ece21bb0ae7e40c4efebce05accbc749cc0e50291da00a05a03bc00460b93,bf2532cb0e7fd3a76a2cf1bbb53cff1cd77fe67b3f152f802c084ef196860ed5,true,true
